OID_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,POINT_X,POINT_Y
1,1,1103704128280,N Front St,M,S1400,0.014355769874990,-76.899734000323804,40.277945999708152
2,1,1103704128280,N Front St,M,S1400,0.014355769874990,-76.900945408703592,40.280549076578666
3,1,1103704128280,N Front St,M,S1400,0.014355769874990,-76.902254286506093,40.283103136800378
4,1,1103704128280,N Front St,M,S1400,0.014355769874990,-76.903556839376620,40.285657444335641
5,1,1103704128280,N Front St,M,S1400,0.014355769874990,-76.904723123373401,40.288280136319315
6,1,1103704128280,N Front St,M,S1400,0.014355769874990,-76.905654999978253,40.290988000395942
7,2,1106072571677,N 5th St,M,S1400,0.012798870804565,-76.892763999958618,40.279851000323447
8,2,1106072571677,N 5th St,M,S1400,0.012798870804565,-76.893843131555229,40.282172130739298
9,2,1106072571677,N 5th St,M,S1400,0.012798870804565,-76.894928769746912,40.284490280801890
10,2,1106072571677,N 5th St,M,S1400,0.012798870804565,-76.895958608602882,40.286824745465708
11,2,1106072571677,N 5th St,M,S1400,0.012798870804565,-76.897079779008550,40.289121734480489
12,2,1106072571677,N 5th St,M,S1400,0.012798870804565,-76.898129000053245,40.291409000025396
13,3,110479893756,N 4th St,M,S1400,0.013062156664054,-76.894015000092168,40.279508999840516
14,3,110479893756,N 4th St,M,S1400,0.013062156664054,-76.895122888410526,40.281874443450874
15,3,110479893756,N 4th St,M,S1400,0.013062156664054,-76.896223293470200,40.284243811702595
16,3,110479893756,N 4th St,M,S1400,0.013062156664054,-76.897331128728581,40.286609642021403
17,3,110479893756,N 4th St,M,S1400,0.013062156664054,-76.898429021981713,40.288980108345356
18,3,110479893756,N 4th St,M,S1400,0.013062156664054,-76.899527999817280,40.291345999818077
19,4,1102302775649,Schuykill St,M,S1400,0.002140587245819,-76.902924999988727,40.284369000029358
20,4,1102302775649,Schuykill St,M,S1400,0.002140587245819,-76.902511709347891,40.284480688632925
21,4,1102302775649,Schuykill St,M,S1400,0.002140587245819,-76.902098727174462,40.284593517576809
22,4,1102302775649,Schuykill St,M,S1400,0.002140587245819,-76.901684584875625,40.284701999197978
23,4,1102302775649,Schuykill St,M,S1400,0.002140587245819,-76.901271414743974,40.284814123972694
24,4,1102302775649,Schuykill St,M,S1400,0.002140587245819,-76.900859000042772,40.284928999773570
25,5,110479895216,Moon Aly,M,S1400,0.001306384541355,-76.897966999777168,40.287979000130804
26,5,110479895216,Moon Aly,M,S1400,0.001306384541355,-76.897714887432073,40.288047588725306
27,5,110479895216,Moon Aly,M,S1400,0.001306384541355,-76.897462966642536,40.288116883287614
28,5,110479895216,Moon Aly,M,S1400,0.001306384541355,-76.897210994591717,40.288185977301055
29,5,110479895216,Moon Aly,M,S1400,0.001306384541355,-76.896958892139139,40.288254607264378
30,5,110479895216,Moon Aly,M,S1400,0.001306384541355,-76.896707000127890,40.288323999852764
31,6,110479897476,Logan St,M,S1400,0.001780912599272,-76.897128999803442,40.284124999569144
32,6,110479897476,Logan St,M,S1400,0.001780912599272,-76.897277371753262,40.284448807666365
33,6,110479897476,Logan St,M,S1400,0.001780912599272,-76.897426155592541,40.284772426906045
34,6,110479897476,Logan St,M,S1400,0.001780912599272,-76.897575480823718,40.285095795234838
35,6,110479897476,Logan St,M,S1400,0.001780912599272,-76.897726237775601,40.285418499863908
36,6,110479897476,Logan St,M,S1400,0.001780912599272,-76.897872999938954,40.285743000439197
37,7,1102303584231,Curtin St,M,S1400,0.002793596567004,-76.894629999674692,40.283851999570174
38,7,1102303584231,Curtin St,M,S1400,0.002793596567004,-76.894093025272866,40.284006340320389
39,7,1102303584231,Curtin St,M,S1400,0.002793596567004,-76.893553416756731,40.284151219303396
40,7,1102303584231,Curtin St,M,S1400,0.002793596567004,-76.893014113110780,40.284297217042990
41,7,1102303584231,Curtin St,M,S1400,0.002793596567004,-76.892474834645839,40.284443285829013
42,7,1102303584231,Curtin St,M,S1400,0.002793596567004,-76.891936000446037,40.284591000374405
43,8,1102302613595,Brensinger Aly,M,S1400,0.001400298762435,-76.892874999681453,40.282030000084490
44,8,1102302613595,Brensinger Aly,M,S1400,0.001400298762435,-76.892993280315579,40.282283853517072
45,8,1102302613595,Brensinger Aly,M,S1400,0.001400298762435,-76.893111607714502,40.282537688063883
46,8,1102302613595,Brensinger Aly,M,S1400,0.001400298762435,-76.893230031340863,40.282791476745331
47,8,1102302613595,Brensinger Aly,M,S1400,0.001400298762435,-76.893348436081396,40.283045275319239
48,8,1102302613595,Brensinger Aly,M,S1400,0.001400298762435,-76.893467000002033,40.283299000148816
49,10,110479900023,Turner St,M,S1400,0.001081202793619,-76.890857000150390,40.280366999837213
50,10,110479900023,Turner St,M,S1400,0.001081202793619,-76.890951290469616,40.280561600537510
51,10,110479900023,Turner St,M,S1400,0.001081202793619,-76.891059827848721,40.280748289901737
52,10,110479900023,Turner St,M,S1400,0.001081202793619,-76.891175492355046,40.280930324375049
53,10,110479900023,Turner St,M,S1400,0.001081202793619,-76.891261293973514,40.281127587967887
54,10,110479900023,Turner St,M,S1400,0.001081202793619,-76.891357999871786,40.281320999764375
55,12,1103690109275,Avon Aly,M,S1400,0.001437115083277,-76.896870999596899,40.289658000216605
56,12,1103690109275,Avon Aly,M,S1400,0.001437115083277,-76.896989603087661,40.289918869260475
57,12,1103690109275,Avon Aly,M,S1400,0.001437115083277,-76.897099056875959,40.290184212431484
58,12,1103690109275,Avon Aly,M,S1400,0.001437115083277,-76.897218099235829,40.290436528023406
59,12,1103690109275,Avon Aly,M,S1400,0.001437115083277,-76.897348484744725,40.290691480427540
60,12,1103690109275,Avon Aly,M,S1400,0.001437115083277,-76.897460999825228,40.290952999681224
61,13,110479899835,Radnor St,M,S1400,0.004349701160339,-76.903683999916609,40.285980999723392
62,13,110479899835,Radnor St,M,S1400,0.004349701160339,-76.902844705818495,40.286209866392255
63,13,110479899835,Radnor St,M,S1400,0.004349701160339,-76.902005718389148,40.286439836529269
64,13,110479899835,Radnor St,M,S1400,0.004349701160339,-76.901166218346248,40.286667940573068
65,13,110479899835,Radnor St,M,S1400,0.004349701160339,-76.900326828919958,40.286896451110408
66,13,110479899835,Radnor St,M,S1400,0.004349701160339,-76.899487999771338,40.287127000410806
67,16,1102302991119,Lexington St,M,S1400,0.004771558898959,-76.894399999860070,40.287164000318398
68,16,1102302991119,Lexington St,M,S1400,0.004771558898959,-76.894804085040448,40.288028538386413
69,16,1102302991119,Lexington St,M,S1400,0.004771558898959,-76.895207209744910,40.288893519820135
70,16,1102302991119,Lexington St,M,S1400,0.004771558898959,-76.895608256116077,40.289759462629149
71,16,1102302991119,Lexington St,M,S1400,0.004771558898959,-76.896009593867632,40.290625267841904
72,16,1102302991119,Lexington St,M,S1400,0.004771558898959,-76.896403999644804,40.291494000347882
73,17,1102968750983,Emerald St,M,S1400,0.002752967819068,-76.896383999621833,40.282505000405479
74,17,1102968750983,Emerald St,M,S1400,0.002752967819068,-76.895852727821079,40.282649404546419
75,17,1102968750983,Emerald St,M,S1400,0.002752967819068,-76.895321556744420,40.282794336589404
76,17,1102968750983,Emerald St,M,S1400,0.002752967819068,-76.894790147347408,40.282938408880511
77,17,1102968750983,Emerald St,M,S1400,0.002752967819068,-76.894259248765252,40.283084349962849
78,17,1102968750983,Emerald St,M,S1400,0.002752967819068,-76.893728000346925,40.283228999618700
79,18,110479905422,Schuylkill St,M,S1400,0.004880395400351,-76.895255999764515,40.286459000182788
80,18,110479905422,Schuylkill St,M,S1400,0.004880395400351,-76.894313660447040,40.286713250216394
81,18,110479905422,Schuylkill St,M,S1400,0.004880395400351,-76.893371110688179,40.286966870724541
82,18,110479905422,Schuylkill St,M,S1400,0.004880395400351,-76.892429183260163,40.287222801591099
83,18,110479905422,Schuylkill St,M,S1400,0.004880395400351,-76.891487942914182,40.287481235270832
84,18,110479905422,Schuylkill St,M,S1400,0.004880395400351,-76.890545000151576,40.287732999578338
85,19,1103470871771,Brensinger St,M,S1400,0.001309331106342,-76.893928999723528,40.283658999663146
86,19,1103470871771,Brensinger St,M,S1400,0.001309331106342,-76.894043939376274,40.283894288390741
87,19,1103470871771,Brensinger St,M,S1400,0.001309331106342,-76.894157948230713,40.284130031275993
88,19,1103470871771,Brensinger St,M,S1400,0.001309331106342,-76.894271553289514,40.284365970213400
89,19,1103470871771,Brensinger St,M,S1400,0.001309331106342,-76.894382615065581,40.284603116940332
90,19,1103470871771,Brensinger St,M,S1400,0.001309331106342,-76.894491999606032,40.284841000212054
91,21,1102302991124,Lexington St,M,S1400,0.000475142936653,-76.894253000275683,40.286730000089506
92,21,1102302991124,Lexington St,M,S1400,0.000475142936653,-76.894293000321682,40.286816200107580
93,21,1102302991124,Lexington St,M,S1400,0.000475142936653,-76.894333000367624,40.286902400125712
94,21,1102302991124,Lexington St,M,S1400,0.000475142936653,-76.894372999514303,40.286988600143843
95,21,1102302991124,Lexington St,M,S1400,0.000475142936653,-76.894412999560245,40.287074800161975
96,21,1102302991124,Lexington St,M,S1400,0.000475142936653,-76.894452999606187,40.287161000180049
97,23,1102303584216,Curtin St,M,S1400,0.002259519371736,-76.891885999938893,40.284604000074580
98,23,1102303584216,Curtin St,M,S1400,0.002259519371736,-76.891449980731977,40.284722738463643
99,23,1102303584216,Curtin St,M,S1400,0.002259519371736,-76.891014195348816,40.284842342000559
100,23,1102303584216,Curtin St,M,S1400,0.002259519371736,-76.890578981035105,40.284964004085566
101,23,1102303584216,Curtin St,M,S1400,0.002259519371736,-76.890142472597006,40.285080933937991
102,23,1102303584216,Curtin St,M,S1400,0.002259519371736,-76.889706000131753,40.285197999588036
103,24,110479899530,Lauver Aly,M,S1400,0.000913265051715,-76.890214000175945,40.285061999611628
104,24,110479899530,Lauver Aly,M,S1400,0.000913265051715,-76.890278354762245,40.285232726009554
105,24,110479899530,Lauver Aly,M,S1400,0.000913265051715,-76.890336323262659,40.285405936334939
106,24,110479899530,Lauver Aly,M,S1400,0.000913265051715,-76.890394372702076,40.285579111586799
107,24,110479899530,Lauver Aly,M,S1400,0.000913265051715,-76.890452332209350,40.285752325509463
108,24,110479899530,Lauver Aly,M,S1400,0.000913265051715,-76.890516999759711,40.285922999746674
109,26,1107051994320,Seneca St,M,S1400,0.011726732815572,-76.901309000110246,40.282984000011652
110,26,1107051994320,Seneca St,M,S1400,0.011726732815572,-76.899044924483633,40.283595745847038
111,26,1107051994320,Seneca St,M,S1400,0.011726732815572,-76.896782990142867,40.284214568447624
112,26,1107051994320,Seneca St,M,S1400,0.011726732815572,-76.894521008137986,40.284833231868220
113,26,1107051994320,Seneca St,M,S1400,0.011726732815572,-76.892257716720223,40.285447985935832
114,26,1107051994320,Seneca St,M,S1400,0.011726732815572,-76.889993999923092,40.286060999815334
115,27,1102302579927,Logan St,M,S1400,0.001784178904023,-76.896557999551987,40.282456999990586
116,27,1102302579927,Logan St,M,S1400,0.001784178904023,-76.896709119829950,40.282780255904129
117,27,1102302579927,Logan St,M,S1400,0.001784178904023,-76.896860513501849,40.283103384113929
118,27,1102302579927,Logan St,M,S1400,0.001784178904023,-76.897011906274429,40.283426512323729
119,27,1102302579927,Logan St,M,S1400,0.001784178904023,-76.897163303543607,40.283749638734889
120,27,1102302579927,Logan St,M,S1400,0.001784178904023,-76.897312000148645,40.284073999915222
121,29,1107051994295,Wharton Aly,M,S1400,0.003389873496958,-76.892874999681453,40.282030000084490
122,29,1107051994295,Wharton Aly,M,S1400,0.003389873496958,-76.892220489284114,40.282206814892618
123,29,1107051994295,Wharton Aly,M,S1400,0.003389873496958,-76.891565616460014,40.282382272623863
124,29,1107051994295,Wharton Aly,M,S1400,0.003389873496958,-76.890911570112848,40.282560783553379
125,29,1107051994295,Wharton Aly,M,S1400,0.003389873496958,-76.890257751294143,40.282740147040215
126,29,1107051994295,Wharton Aly,M,S1400,0.003389873496958,-76.889602999878491,40.282915999573788
127,33,1102303423248,Elizabeth St,M,S1400,0.000933655015078,-76.891885999938893,40.284604000074580
128,33,1102303423248,Elizabeth St,M,S1400,0.000933655015078,-76.891975794547250,40.284767567869039
129,33,1102303423248,Elizabeth St,M,S1400,0.000933655015078,-76.892060916278240,40.284933768878375
130,33,1102303423248,Elizabeth St,M,S1400,0.000933655015078,-76.892146020022778,40.285099976183005
131,33,1102303423248,Elizabeth St,M,S1400,0.000933655015078,-76.892231645374125,40.285265918187633
132,33,1102303423248,Elizabeth St,M,S1400,0.000933655015078,-76.892317000029493,40.285431999587161
133,34,1106092814148,Schuykill St,M,S1400,0.001841588073550,-76.897031999826879,40.285972000207721
134,34,1106092814148,Schuykill St,M,S1400,0.001841588073550,-76.896676425876308,40.286068043305590
135,34,1106092814148,Schuykill St,M,S1400,0.001841588073550,-76.896321074957598,40.286164903887254
136,34,1106092814148,Schuykill St,M,S1400,0.001841588073550,-76.895965312149372,40.286260248211931
137,34,1106092814148,Schuykill St,M,S1400,0.001841588073550,-76.895610526904250,40.286359157449226
138,34,1106092814148,Schuykill St,M,S1400,0.001841588073550,-76.895255999764515,40.286459000182788
139,35,110479904476,Shamokin St,M,S1400,0.004315193363569,-76.905152000164662,40.289227000126004
140,35,110479904476,Shamokin St,M,S1400,0.004315193363569,-76.904317179294367,40.289445871729640
141,35,110479904476,Shamokin St,M,S1400,0.004315193363569,-76.903484920592575,40.289674305824633
142,35,110479904476,Shamokin St,M,S1400,0.004315193363569,-76.902652601636191,40.289902482713444
143,35,110479904476,Shamokin St,M,S1400,0.004315193363569,-76.901820176559852,40.290130293578216
144,35,110479904476,Shamokin St,M,S1400,0.004315193363569,-76.900987999696383,40.290359000167768
145,37,1106087423499,Brensinger Aly,M,S1400,0.003573300329919,-76.893728000346925,40.283228999618700
146,37,1106087423499,Brensinger Aly,M,S1400,0.003573300329919,-76.894034273462921,40.283874672378261
147,37,1106087423499,Brensinger Aly,M,S1400,0.003573300329919,-76.894343084465731,40.284519149938887
148,37,1106087423499,Brensinger Aly,M,S1400,0.003573300329919,-76.894645707233565,40.285166522417114
149,37,1106087423499,Brensinger Aly,M,S1400,0.003573300329919,-76.894950853499040,40.285812760850263
150,37,1106087423499,Brensinger Aly,M,S1400,0.003573300329919,-76.895255999764515,40.286459000182788
151,38,1102302581701,Orange St,M,S1400,0.003565950971114,-76.894482000044206,40.279381000233002
152,38,1102302581701,Orange St,M,S1400,0.003565950971114,-76.894787854975505,40.280024979569191
153,38,1102302581701,Orange St,M,S1400,0.003565950971114,-76.895085442439154,40.280673116471178
154,38,1102302581701,Orange St,M,S1400,0.003565950971114,-76.895385459871022,40.281320132817939
155,38,1102302581701,Orange St,M,S1400,0.003565950971114,-76.895686730058515,40.281966566403980
156,38,1102302581701,Orange St,M,S1400,0.003565950971114,-76.895988000245950,40.282612999990022
157,39,1103690112984,Atlas St,M,S1400,0.003563062960396,-76.893398000417335,40.279678000439446
158,39,1103690112984,Atlas St,M,S1400,0.003563062960396,-76.893700393858069,40.280323269403425
159,39,1103690112984,Atlas St,M,S1400,0.003563062960396,-76.893999380666855,40.280970126570139
160,39,1103690112984,Atlas St,M,S1400,0.003563062960396,-76.894299148986477,40.281616621310093
161,39,1103690112984,Atlas St,M,S1400,0.003563062960396,-76.894599628669880,40.282262785099533
162,39,1103690112984,Atlas St,M,S1400,0.003563062960396,-76.894900000434632,40.282909000150312
163,40,110479896142,Agate St,M,S1400,0.002551065259131,-76.893520999794248,40.289143999895714
164,40,110479896142,Agate St,M,S1400,0.002551065259131,-76.893651283679787,40.289637287031212
165,40,110479896142,Agate St,M,S1400,0.002551065259131,-76.893780605290658,40.290130784608095
166,40,110479896142,Agate St,M,S1400,0.002551065259131,-76.893920222340341,40.290621505977754
167,40,110479896142,Agate St,M,S1400,0.002551065259131,-76.894054955172010,40.291113422546459
168,40,110479896142,Agate St,M,S1400,0.002551065259131,-76.894179999607275,40.291608000209067
169,42,110479895470,Reel St,M,S1400,0.001783023231661,-76.894012999999916,40.284970999911764
170,42,110479895470,Reel St,M,S1400,0.001783023231661,-76.894162373794472,40.285294812505640
171,42,110479895470,Reel St,M,S1400,0.001783023231661,-76.894311643267656,40.285618672763576
172,42,110479895470,Reel St,M,S1400,0.001783023231661,-76.894460911841577,40.285942533021512
173,42,110479895470,Reel St,M,S1400,0.001783023231661,-76.894610181314761,40.286266393279504
174,42,110479895470,Reel St,M,S1400,0.001783023231661,-76.894760000273777,40.286589999928594
175,43,1102303382871,Turner St,M,S1400,0.003202034299663,-76.892011000307377,40.282264000083615
176,43,1102303382871,Turner St,M,S1400,0.003202034299663,-76.892291432303693,40.282839736164931
177,43,1102303382871,Turner St,M,S1400,0.003202034299663,-76.892571192506466,40.283415792404924
178,43,1102303382871,Turner St,M,S1400,0.003202034299663,-76.892853629091690,40.283990536534077
179,43,1102303382871,Turner St,M,S1400,0.003202034299663,-76.893139531664019,40.284563534179824
180,43,1102303382871,Turner St,M,S1400,0.003202034299663,-76.893441999748461,40.285127999957297
181,44,1106087427919,Forest St,M,S1400,0.003755095984188,-76.893210999887685,40.280811999674086
182,44,1106087427919,Forest St,M,S1400,0.003755095984188,-76.892487006070439,40.281011615893419
183,44,1106087427919,Forest St,M,S1400,0.003755095984188,-76.891762644430457,40.281209918203217
184,44,1106087427919,Forest St,M,S1400,0.003755095984188,-76.891038017490473,40.281407198883187
185,44,1106087427919,Forest St,M,S1400,0.003755095984188,-76.890314282677991,40.281607785470953
186,44,1106087427919,Forest St,M,S1400,0.003755095984188,-76.889591000224470,40.281809999831694
187,45,110479899237,Gruber Aly,M,S1400,0.001797707918718,-76.890706000381556,40.283091999596138
188,45,110479899237,Gruber Aly,M,S1400,0.001797707918718,-76.890858949880567,40.283417386003634
189,45,110479899237,Gruber Aly,M,S1400,0.001797707918718,-76.891013944437930,40.283741802042584
190,45,110479899237,Gruber Aly,M,S1400,0.001797707918718,-76.891169907565143,40.284065754930680
191,45,110479899237,Gruber Aly,M,S1400,0.001797707918718,-76.891326012785214,40.284389633175067
192,45,110479899237,Gruber Aly,M,S1400,0.001797707918718,-76.891479000055767,40.284714999797473
193,46,1102302560724,Moltke St,M,S1400,0.002269821739932,-76.889602999878491,40.282915999573788
194,46,1102302560724,Moltke St,M,S1400,0.002269821739932,-76.889789830436314,40.283329733580388
195,46,1102302560724,Moltke St,M,S1400,0.002269821739932,-76.889975410936415,40.283743705008021
196,46,1102302560724,Moltke St,M,S1400,0.002269821739932,-76.890184331541604,40.284146453795870
197,46,1102302560724,Moltke St,M,S1400,0.002269821739932,-76.890377212738144,40.284557402602104
198,46,1102302560724,Moltke St,M,S1400,0.002269821739932,-76.890578999920876,40.284963999588967
199,47,1102302560727,Moltke St,M,S1400,0.002212255616981,-76.888562999582746,40.280993999973191
200,47,1102302560727,Moltke St,M,S1400,0.002212255616981,-76.888893851170280,40.281287766217474
201,47,1102302560727,Moltke St,M,S1400,0.002212255616981,-76.889041596292600,40.281701348238698
202,47,1102302560727,Moltke St,M,S1400,0.002212255616981,-76.889180992109061,40.282121261487077
203,47,1102302560727,Moltke St,M,S1400,0.002212255616981,-76.889325695724267,40.282539250186289
204,47,1102302560727,Moltke St,M,S1400,0.002212255616981,-76.889511000132529,40.282940999827360
205,48,1102302616378,Susquehanna St,M,S1400,0.005348871039481,-76.899379000140698,40.285330000279316
206,48,1102302616378,Susquehanna St,M,S1400,0.005348871039481,-76.899828437232543,40.286300785153173
207,48,1102302616378,Susquehanna St,M,S1400,0.005348871039481,-76.900278695405405,40.287271189613762
208,48,1102302616378,Susquehanna St,M,S1400,0.005348871039481,-76.900729277334221,40.288241442988237
209,48,1102302616378,Susquehanna St,M,S1400,0.005348871039481,-76.901177956297602,40.289212572302404
210,48,1102302616378,Susquehanna St,M,S1400,0.005348871039481,-76.901626000339604,40.290184000191516
211,49,1103690110480,Schuylkill St,M,S1400,0.003904379618734,-76.900798999973858,40.284945999658191
212,49,1103690110480,Schuylkill St,M,S1400,0.003904379618734,-76.900045887008048,40.285152333813187
213,49,1103690110480,Schuylkill St,M,S1400,0.003904379618734,-76.899291489810366,40.285353928541042
214,49,1103690110480,Schuylkill St,M,S1400,0.003904379618734,-76.898539381387309,40.285563913044200
215,49,1103690110480,Schuylkill St,M,S1400,0.003904379618734,-76.897785259382204,40.285766192156075
216,49,1103690110480,Schuylkill St,M,S1400,0.003904379618734,-76.897031999826879,40.285972000207721
217,50,110479895469,Reel St,M,S1400,0.003650892118575,-76.895734000223911,40.288139000314686
218,50,110479895469,Reel St,M,S1400,0.003650892118575,-76.896042105258914,40.288800981380234
219,50,110479895469,Reel St,M,S1400,0.003650892118575,-76.896347523119630,40.289464216100725
220,50,110479895469,Reel St,M,S1400,0.003650892118575,-76.896651721499722,40.290128004803648
221,50,110479895469,Reel St,M,S1400,0.003650892118575,-76.896962933692407,40.290788540658696
222,50,110479895469,Reel St,M,S1400,0.003650892118575,-76.897270000010451,40.291451000163590
223,51,1106087390078,Radnor St,M,S1400,0.006924228991981,-76.897789999708664,40.287587000040048
224,51,1106087390078,Radnor St,M,S1400,0.006924228991981,-76.896453189862768,40.287948516710742
225,51,1106087390078,Radnor St,M,S1400,0.006924228991981,-76.895115581418906,40.288307031444390
226,51,1106087390078,Radnor St,M,S1400,0.006924228991981,-76.893780522553016,40.288674963878520
227,51,1106087390078,Radnor St,M,S1400,0.006924228991981,-76.892445715497331,40.289043844198090
228,51,1106087390078,Radnor St,M,S1400,0.006924228991981,-76.891108000034137,40.289402000102257
229,52,1104474005512,Reels Ln,M,S1400,0.003658861001129,-76.897513000424567,40.286991000434398
230,52,1104474005512,Reels Ln,M,S1400,0.003658861001129,-76.896782530589292,40.287034601365804
231,52,1104474005512,Reels Ln,M,S1400,0.003658861001129,-76.896051774769546,40.287073146308728
232,52,1104474005512,Reels Ln,M,S1400,0.003658861001129,-76.895321110680698,40.287113411654673
233,52,1104474005512,Reels Ln,M,S1400,0.003658861001129,-76.894590422310102,40.287153095139274
234,52,1104474005512,Reels Ln,M,S1400,0.003658861001129,-76.893860000138829,40.287197000041544
235,53,110479894782,Finn Aly,M,S1400,0.001210718613468,-76.894865999766012,40.287139000064826
236,53,110479894782,Finn Aly,M,S1400,0.001210718613468,-76.894966198631096,40.287359440086163
237,53,110479894782,Finn Aly,M,S1400,0.001210718613468,-76.895066555776907,40.287579805463679
238,53,110479894782,Finn Aly,M,S1400,0.001210718613468,-76.895168332952153,40.287799521530758
239,53,110479894782,Finn Aly,M,S1400,0.001210718613468,-76.895270113724735,40.288019235799140
240,53,110479894782,Finn Aly,M,S1400,0.001210718613468,-76.895375999902456,40.288237000337347
241,54,1102303621374,Emerald St,M,S1400,0.004852419172856,-76.901238999580130,40.281179000410589
242,54,1102303621374,Emerald St,M,S1400,0.004852419172856,-76.900303818866121,40.281438374781203
243,54,1102303621374,Emerald St,M,S1400,0.004852419172856,-76.899366893467345,40.281691182302268
244,54,1102303621374,Emerald St,M,S1400,0.004852419172856,-76.898430518453608,40.281946169779985
245,54,1102303621374,Emerald St,M,S1400,0.004852419172856,-76.897494057105007,40.282200840696305
246,54,1102303621374,Emerald St,M,S1400,0.004852419172856,-76.896557999551987,40.282456999990586
247,55,1107051994235,Woodbine St,M,S1400,0.012047754183371,-76.900490000113393,40.279571000001681
248,55,1107051994235,Woodbine St,M,S1400,0.012047754183371,-76.898163598771021,40.280197600838676
249,55,1107051994235,Woodbine St,M,S1400,0.012047754183371,-76.895838583283933,40.280829989712288
250,55,1107051994235,Woodbine St,M,S1400,0.012047754183371,-76.893512896003301,40.281460027758101
251,55,1107051994235,Woodbine St,M,S1400,0.012047754183371,-76.891188436297284,40.282094675728729
252,55,1107051994235,Woodbine St,M,S1400,0.012047754183371,-76.888865000019678,40.282733000127905
253,57,110479904887,Jefferson St,M,S1400,0.011647473897058,-76.889140000110899,40.280840000066007
254,57,110479904887,Jefferson St,M,S1400,0.011647473897058,-76.890126609455422,40.282950234965426
255,57,110479904887,Jefferson St,M,S1400,0.011647473897058,-76.891132044308335,40.285051555784719
256,57,110479904887,Jefferson St,M,S1400,0.011647473897058,-76.892133196589725,40.287154910870470
257,57,110479904887,Jefferson St,M,S1400,0.011647473897058,-76.892757129138147,40.289397681557830
258,57,110479904887,Jefferson St,M,S1400,0.011647473897058,-76.893346999864093,40.291651000393415
259,58,110479898303,Waldo St,M,S1400,0.004374212600729,-76.891323000056389,40.287526999971135
260,58,110479898303,Waldo St,M,S1400,0.004374212600729,-76.891570952137670,40.288365968514711
261,58,110479898303,Waldo St,M,S1400,0.004374212600729,-76.891819823326159,40.289204665462989
262,58,110479898303,Waldo St,M,S1400,0.004374212600729,-76.892101283247598,40.290032911389801
263,58,110479898303,Waldo St,M,S1400,0.004374212600729,-76.892378646757095,40.290862621412884
264,58,110479898303,Waldo St,M,S1400,0.004374212600729,-76.892657000420172,40.291691999586192
265,59,110479899763,Oxford St,M,S1400,0.003177281399461,-76.893422999771587,40.286326000344673
266,59,110479899763,Oxford St,M,S1400,0.003177281399461,-76.892812769293812,40.286502325921674
267,59,110479899763,Oxford St,M,S1400,0.003177281399461,-76.892199909198439,40.286670274313735
268,59,110479899763,Oxford St,M,S1400,0.003177281399461,-76.891587076981978,40.286838320731988
269,59,110479899763,Oxford St,M,S1400,0.003177281399461,-76.890973922808257,40.287005191736284
270,59,110479899763,Oxford St,M,S1400,0.003177281399461,-76.890359999714178,40.287168999649680
271,60,1102303382887,Turner St,M,S1400,0.001781443770659,-76.893512000278577,40.285110000026521
272,60,1102303382887,Turner St,M,S1400,0.001781443770659,-76.893658178781891,40.285434911591949
273,60,1102303382887,Turner St,M,S1400,0.001781443770659,-76.893806884380183,40.285758683716324
274,60,1102303382887,Turner St,M,S1400,0.001781443770659,-76.893955589978475,40.286082455840699
275,60,1102303382887,Turner St,M,S1400,0.001781443770659,-76.894104294677390,40.286406227965074
276,60,1102303382887,Turner St,M,S1400,0.001781443770659,-76.894253000275683,40.286730000089506
277,61,110479895497,Ross St,M,S1400,0.003082179887112,-76.893155000003219,40.285817000254383
278,61,110479895497,Ross St,M,S1400,0.003082179887112,-76.892561107509039,40.285982178734628
279,61,110479895497,Ross St,M,S1400,0.003082179887112,-76.891966849890196,40.286146034312083
280,61,110479895497,Ross St,M,S1400,0.003082179887112,-76.891372040087560,40.286307856522399
281,61,110479895497,Ross St,M,S1400,0.003082179887112,-76.890776977575399,40.286468773115416
282,61,110479895497,Ross St,M,S1400,0.003082179887112,-76.890181999599577,40.286629999974593
283,62,110479898847,Clover Aly,M,S1400,0.001130410350284,-76.893928999723528,40.283658999663146
284,62,110479898847,Clover Aly,M,S1400,0.001130410350284,-76.893711833234477,40.283721774140645
285,62,110479898847,Clover Aly,M,S1400,0.001130410350284,-76.893493771020701,40.283781455849578
286,62,110479898847,Clover Aly,M,S1400,0.001130410350284,-76.893275708806868,40.283841139357150
287,62,110479898847,Clover Aly,M,S1400,0.001130410350284,-76.893057647492412,40.283900822864723
288,62,110479898847,Clover Aly,M,S1400,0.001130410350284,-76.892839999866055,40.283962000146232
289,63,110479894611,Camp St,M,S1400,0.004905611397706,-76.893869999700712,40.282230000314314
290,63,110479894611,Camp St,M,S1400,0.004905611397706,-76.892922636770209,40.282485143374743
291,63,110479894611,Camp St,M,S1400,0.004905611397706,-76.891975667742827,40.282741746934107
292,63,110479894611,Camp St,M,S1400,0.004905611397706,-76.891029526991019,40.283001357826436
