OID_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,POINT_X,POINT_Y
1,1,110479893784,N 5th St,M,S1400,0.003773721694715,-76.897402999848509,40.295301999687581
2,1,110479893784,N 5th St,M,S1400,0.003773721694715,-76.897311681788665,40.296051152039070
3,1,110479893784,N 5th St,M,S1400,0.003773721694715,-76.897232035130287,40.296801603910922
4,1,110479893784,N 5th St,M,S1400,0.003773721694715,-76.897150064623759,40.297551759905843
5,1,110479893784,N 5th St,M,S1400,0.003773721694715,-76.897075553993602,40.298302779249923
6,1,110479893784,N 5th St,M,S1400,0.003773721694715,-76.896986000403558,40.299051999949882
7,2,110479893845,N 7th St,M,S1400,0.001847805691521,-76.893528000117101,40.295112999965056
8,2,110479893845,N 7th St,M,S1400,0.001847805691521,-76.893488280659597,40.295480408094420
9,2,110479893845,N 7th St,M,S1400,0.001847805691521,-76.893448903843819,40.295847862089204
10,2,110479893845,N 7th St,M,S1400,0.001847805691521,-76.893405987296433,40.296214846637895
11,2,110479893845,N 7th St,M,S1400,0.001847805691521,-76.893374439978402,40.296583001204567
12,2,110479893845,N 7th St,M,S1400,0.001847805691521,-76.893331000025569,40.296950000142431
13,3,1102303062091,N 3rd St,M,S1400,0.019824467847101,-76.901122999626693,40.291258000256562
14,3,1102303062091,N 3rd St,M,S1400,0.019824467847101,-76.899943382281208,40.294888455437899
15,3,1102303062091,N 3rd St,M,S1400,0.019824467847101,-76.899558764725157,40.298834186848296
16,3,1102303062091,N 3rd St,M,S1400,0.019824467847101,-76.898615738325645,40.302660299433342
17,3,1102303062091,N 3rd St,M,S1400,0.019824467847101,-76.897448966896263,40.306449331171734
18,3,1102303062091,N 3rd St,M,S1400,0.019824467847101,-76.896346999714240,40.310257999607074
19,4,110479893755,N 4th St,M,S1400,0.015022495876853,-76.898461000075031,40.295379999687270
20,4,110479893755,N 4th St,M,S1400,0.015022495876853,-76.898148483865384,40.298367486370466
21,4,110479893755,N 4th St,M,S1400,0.015022495876853,-76.897695118534841,40.301327312605451
22,4,110479893755,N 4th St,M,S1400,0.015022495876853,-76.896839974784996,40.304207538946798
23,4,110479893755,N 4th St,M,S1400,0.015022495876853,-76.895980630301835,40.307086508035979
24,4,110479893755,N 4th St,M,S1400,0.015022495876853,-76.895113000364631,40.309963000392202
25,5,110479893846,N 7th St,M,S1400,0.003452005614476,-76.893574999586519,40.291637999793920
26,5,110479893846,N 7th St,M,S1400,0.003452005614476,-76.893634598557867,40.292325823777787
27,5,110479893846,N 7th St,M,S1400,0.003452005614476,-76.893694140871844,40.293013652258310
28,5,110479893846,N 7th St,M,S1400,0.003452005614476,-76.893753673293361,40.293701478040816
29,5,110479893846,N 7th St,M,S1400,0.003452005614476,-76.893839870613476,40.294386345053852
30,5,110479893846,N 7th St,M,S1400,0.003452005614476,-76.893910999792752,40.295072999919057
31,7,110479897507,Manor St,M,S1400,0.003272669474468,-76.906021999815380,40.292464000113569
32,7,110479897507,Manor St,M,S1400,0.003272669474468,-76.905367855442137,40.292486436399997
33,7,110479897507,Manor St,M,S1400,0.003272669474468,-76.904714456606825,40.292471038207907
34,7,110479897507,Manor St,M,S1400,0.003272669474468,-76.904062060515628,40.292418227319388
35,7,110479897507,Manor St,M,S1400,0.003272669474468,-76.903409683310201,40.292365190701048
36,7,110479897507,Manor St,M,S1400,0.003272669474468,-76.902757000335271,40.292315999583764
37,8,110479906989,Owen St,M,S1400,0.001336546738696,-76.898951000188447,40.297501000370914
38,8,110479906989,Owen St,M,S1400,0.001336546738696,-76.898684325121451,40.297482600241835
39,8,110479906989,Owen St,M,S1400,0.001336546738696,-76.898417630269364,40.297464487895866
40,8,110479906989,Owen St,M,S1400,0.001336546738696,-76.898150821203387,40.297448179589878
41,8,110479906989,Owen St,M,S1400,0.001336546738696,-76.897883910513997,40.297433589888328
42,8,110479906989,Owen St,M,S1400,0.001336546738696,-76.897616999824663,40.297419000186778
43,9,1106092781229,Alricks St,M,S1400,0.004545207254223,-76.897423999917635,40.298792999697241
44,9,1106092781229,Alricks St,M,S1400,0.004545207254223,-76.896767073941248,40.299027731744502
45,9,1106092781229,Alricks St,M,S1400,0.004545207254223,-76.895860934134760,40.298955628599458
46,9,1106092781229,Alricks St,M,S1400,0.004545207254223,-76.894953941770950,40.298894697732180
47,9,1106092781229,Alricks St,M,S1400,0.004545207254223,-76.894046528524427,40.298840383177208
48,9,1106092781229,Alricks St,M,S1400,0.004545207254223,-76.893139000164695,40.298788000365960
49,10,1102169831699,Yetter Aly,M,S1730,0.000160798176840,-76.899527999817280,40.295455999594765
50,10,1102169831699,Yetter Aly,M,S1730,0.000160798176840,-76.899524800029440,40.295487999271813
51,10,1102169831699,Yetter Aly,M,S1730,0.000160798176840,-76.899521600241599,40.295519999848182
52,10,1102169831699,Yetter Aly,M,S1730,0.000160798176840,-76.899518399554438,40.295551999525230
53,10,1102169831699,Yetter Aly,M,S1730,0.000160798176840,-76.899515199766597,40.295584000101599
54,10,1102169831699,Yetter Aly,M,S1730,0.000160798176840,-76.899511999978756,40.295615999778647
55,11,1102169839330,Joseph Aly,M,S1730,0.001849480788521,-76.893808000438810,40.296976000442100
56,11,1102169839330,Joseph Aly,M,S1730,0.001849480788521,-76.893779383112019,40.297344685608834
57,11,1102169839330,Joseph Aly,M,S1730,0.001849480788521,-76.893729288176075,40.297711162040571
58,11,1102169839330,Joseph Aly,M,S1730,0.001849480788521,-76.893697799313941,40.298079554028220
59,11,1102169839330,Joseph Aly,M,S1730,0.001849480788521,-76.893668923881705,40.298448316536621
60,11,1102169839330,Joseph Aly,M,S1730,0.001849480788521,-76.893638999839936,40.298816999904659
61,12,1102169839620,Agnes Aly,M,S1730,0.000879533567121,-76.896728000197015,40.297172999634256
62,12,1102169839620,Agnes Aly,M,S1730,0.000879533567121,-76.896706599929587,40.297347599412262
63,12,1102169839620,Agnes Aly,M,S1730,0.000879533567121,-76.896685199662215,40.297522200089531
64,12,1102169839620,Agnes Aly,M,S1730,0.000879533567121,-76.896663800294107,40.297696799867481
65,12,1102169839620,Agnes Aly,M,S1730,0.000879533567121,-76.896642400026678,40.297871400544750
66,12,1102169839620,Agnes Aly,M,S1730,0.000879533567121,-76.896620999759307,40.298046000322699
67,15,1102169902221,Susquehanna St,M,S1400,0.008882175925006,-76.899511999978756,40.301838999870029
68,15,1102169902221,Susquehanna St,M,S1400,0.008882175925006,-76.898979112995619,40.303533585206821
69,15,1102169902221,Susquehanna St,M,S1400,0.008882175925006,-76.898470932187706,40.305235727546858
70,15,1102169902221,Susquehanna St,M,S1400,0.008882175925006,-76.897963109310012,40.306937556023456
71,15,1102169902221,Susquehanna St,M,S1400,0.008882175925006,-76.897458871129970,40.308640711000066
72,15,1102169902221,Susquehanna St,M,S1400,0.008882175925006,-76.896985000357461,40.310350000252356
73,16,1102169915295,Fifth St,M,S1400,0.000539737916163,-76.896611000197481,40.302737999958765
74,16,1102169915295,Fifth St,M,S1400,0.000539737916163,-76.896586800340515,40.302843199953770
75,16,1102169915295,Fifth St,M,S1400,0.000539737916163,-76.896562600483605,40.302948399948775
76,16,1102169915295,Fifth St,M,S1400,0.000539737916163,-76.896538399727319,40.303053599943723
77,16,1102169915295,Fifth St,M,S1400,0.000539737916163,-76.896514199870410,40.303158799938728
78,16,1102169915295,Fifth St,M,S1400,0.000539737916163,-76.896490000013443,40.303263999933677
79,17,1105089470204,Front St,M,S1400,0.001158692698151,-76.899573000093824,40.309646000162843
80,17,1105089470204,Front St,M,S1400,0.001158692698151,-76.899367157868028,40.309752450215456
81,17,1105089470204,Front St,M,S1400,0.001158692698151,-76.899166726862916,40.309867693839067
82,17,1105089470204,Front St,M,S1400,0.001158692698151,-76.898978943923112,40.310003489669384
83,17,1105089470204,Front St,M,S1400,0.001158692698151,-76.898790177124908,40.310137743162386
84,17,1105089470204,Front St,M,S1400,0.001158692698151,-76.898587999636447,40.310251000183541
85,19,1102303370974,Edward St,M,S1400,0.008770845297936,-76.905038000303421,40.297152999611285
86,19,1102303370974,Edward St,M,S1400,0.008770845297936,-76.903286825126827,40.297050928357692
