OID_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,POINT_X,POINT_Y
1,1,110479897029,N Front St,M,S1400,0.000124213724428,-76.896020999969153,40.272389999798690
2,1,110479897029,N Front St,M,S1400,0.000124213724428,-76.895996640032877,40.272394872325549
3,1,110479897029,N Front St,M,S1400,0.000124213724428,-76.895972457263042,40.272400558738866
4,1,110479897029,N Front St,M,S1400,0.000124213724428,-76.895948278989863,40.272406267635176
5,1,110479897029,N Front St,M,S1400,0.000124213724428,-76.895924100716627,40.272411975632224
6,1,110479897029,N Front St,M,S1400,0.000124213724428,-76.895899999785115,40.272418000190612
7,2,110479893760,N 4th St,M,S1400,0.002254976242921,-76.887597000001506,40.270379999737258
8,2,110479893760,N 4th St,M,S1400,0.002254976242921,-76.887866674307531,40.270741447160106
9,2,110479893760,N 4th St,M,S1400,0.002254976242921,-76.888132642507401,40.271105668991481
10,2,110479893760,N 4th St,M,S1400,0.002254976242921,-76.888399046878476,40.271469567966221
11,2,110479893760,N 4th St,M,S1400,0.002254976242921,-76.888665097815988,40.271833729543062
12,2,110479893760,N 4th St,M,S1400,0.002254976242921,-76.888931000365346,40.272197999937816
13,3,1102302835730,N 6th St,M,S1400,0.000578023898470,-76.884518000105572,40.267745999678198
14,3,1102302835730,N 6th St,M,S1400,0.000578023898470,-76.884558153036323,40.267854407554921
15,3,1102302835730,N 6th St,M,S1400,0.000578023898470,-76.884598891425640,40.267962595997062
16,3,1102302835730,N 6th St,M,S1400,0.000578023898470,-76.884639629815013,40.268070785338523
17,3,1102302835730,N 6th St,M,S1400,0.000578023898470,-76.884680368204386,40.268178973780664
18,3,1102302835730,N 6th St,M,S1400,0.000578023898470,-76.884723999712776,40.268286000298701
19,4,1103690108354,N 5th St,M,S1400,0.001270159447319,-76.891567999663437,40.278944999911857
20,4,1103690108354,N 5th St,M,S1400,0.001270159447319,-76.891717303310884,40.279150524677050
21,4,1103690108354,N 5th St,M,S1400,0.001270159447319,-76.891866449576924,40.279356164555395
22,4,1103690108354,N 5th St,M,S1400,0.001270159447319,-76.892015938484747,40.279561554422230
23,4,1103690108354,N 5th St,M,S1400,0.001270159447319,-76.892165207058611,40.279767105267752
24,4,1103690108354,N 5th St,M,S1400,0.001270159447319,-76.892313999891144,40.279972999654262
25,5,1103690108353,N 5th St,M,S1400,0.007440229074970,-76.887196000395079,40.272930999566029
26,5,1103690108353,N 5th St,M,S1400,0.007440229074970,-76.888081694114874,40.274119310657738
27,5,1103690108353,N 5th St,M,S1400,0.007440229074970,-76.888952971702224,40.275325448111005
28,5,1103690108353,N 5th St,M,S1400,0.007440229074970,-76.889823818514401,40.276532053211724
29,5,1103690108353,N 5th St,M,S1400,0.007440229074970,-76.890695802968878,40.277737821942992
30,5,1103690108353,N 5th St,M,S1400,0.007440229074970,-76.891513999871165,40.278965999980983
31,6,110479899263,Harris St,M,S1400,0.010239720332243,-76.894992000180650,40.271223999987683
32,6,110479899263,Harris St,M,S1400,0.010239720332243,-76.893108317095141,40.272026950683255
33,6,110479899263,Harris St,M,S1400,0.010239720332243,-76.891222355127525,40.272824909242217
34,6,110479899263,Harris St,M,S1400,0.010239720332243,-76.889336666553902,40.273623294079812
35,6,110479899263,Harris St,M,S1400,0.010239720332243,-76.887449516581910,40.274418703060746
36,6,110479899263,Harris St,M,S1400,0.010239720332243,-76.885566999917046,40.275225000133673
37,7,1102169833291,Doyle Aly,M,S1730,0.000420202069224,-76.888815999558688,40.275131000295460
38,7,1102169833291,Doyle Aly,M,S1730,0.000420202069224,-76.888735399618952,40.275154799954123
39,7,1102169833291,Doyle Aly,M,S1730,0.000420202069224,-76.888654799679216,40.275178600512049
40,7,1102169833291,Doyle Aly,M,S1730,0.000420202069224,-76.888574199739480,40.275202400170656
41,7,1102169833291,Doyle Aly,M,S1730,0.000420202069224,-76.888493599799745,40.275226200728639
42,7,1102169833291,Doyle Aly,M,S1730,0.000420202069224,-76.888412999860009,40.275250000387246
43,8,1102302571225,Calder St,M,S1400,0.006879310590858,-76.893611000347335,40.269018999926971
44,8,1102302571225,Calder St,M,S1400,0.006879310590858,-76.892344741416650,40.269556735155277
45,8,1102302571225,Calder St,M,S1400,0.006879310590858,-76.891080709207301,40.270099704437882
46,8,1102302571225,Calder St,M,S1400,0.006879310590858,-76.889814336062727,40.270637452256665
47,8,1102302571225,Calder St,M,S1400,0.006879310590858,-76.888548443156083,40.271176373690764
48,8,1102302571225,Calder St,M,S1400,0.006879310590858,-76.887281999864342,40.271714000101099
49,9,110479898393,Wyeth St,M,S1400,0.001102208990071,-76.886778000004654,40.271927000031098
50,9,110479898393,Wyeth St,M,S1400,0.001102208990071,-76.886896182612702,40.272113085050876
51,9,110479898393,Wyeth St,M,S1400,0.001102208990071,-76.887014148484127,40.272299306767650
52,9,110479898393,Wyeth St,M,S1400,0.001102208990071,-76.887132285226755,40.272485418767133
53,9,110479898393,Wyeth St,M,S1400,0.001102208990071,-76.887250142280209,40.272671708832377
54,9,110479898393,Wyeth St,M,S1400,0.001102208990071,-76.887368000232982,40.272857999796884
55,10,110479905237,Cumberland Ct,M,S1400,0.000926138055071,-76.887229000118225,40.269795999785629
56,10,110479905237,Cumberland Ct,M,S1400,0.000926138055071,-76.887054405736194,40.269857856055239
57,10,110479905237,Cumberland Ct,M,S1400,0.000926138055071,-76.886879992117883,40.269920216844582
58,10,110479905237,Cumberland Ct,M,S1400,0.000926138055071,-76.886705577600310,40.269982579432565
59,10,110479905237,Cumberland Ct,M,S1400,0.000926138055071,-76.886531163981999,40.270044941121171
60,10,110479905237,Cumberland Ct,M,S1400,0.000926138055071,-76.886357000375256,40.270107999784443
61,11,1102169833264,Acorn Aly,M,S1730,0.000988872608508,-76.886670999566945,40.275154999603615
62,11,1102169833264,Acorn Aly,M,S1730,0.000988872608508,-76.886488999267840,40.275232399755510
63,11,1102169833264,Acorn Aly,M,S1730,0.000988872608508,-76.886306999868111,40.275309799907404
64,11,1102169833264,Acorn Aly,M,S1730,0.000988872608508,-76.886124999569063,40.275387200059299
65,11,1102169833264,Acorn Aly,M,S1730,0.000988872608508,-76.885943000169277,40.275464600211194
66,11,1102169833264,Acorn Aly,M,S1730,0.000988872608508,-76.885760999870229,40.275542000363089
67,12,1102169833320,Ford Aly,M,S1730,0.000850869118660,-76.891993000376601,40.275288000340993
68,12,1102169833320,Ford Aly,M,S1730,0.000850869118660,-76.891836400529428,40.275354600534456
69,12,1102169833320,Ford Aly,M,S1730,0.000850869118660,-76.891679800682198,40.275421200727862
70,12,1102169833320,Ford Aly,M,S1730,0.000850869118660,-76.891523199935705,40.275487800022006
71,12,1102169833320,Ford Aly,M,S1730,0.000850869118660,-76.891366600088475,40.275554400215469
72,12,1102169833320,Ford Aly,M,S1730,0.000850869118660,-76.891210000241301,40.275621000408876
73,13,1102302916414,Wallace St,M,S1400,0.005185590658817,-76.887177000418205,40.276107000337845
74,13,1102302916414,Wallace St,M,S1400,0.005185590658817,-76.887653703155820,40.277027566169295
75,13,1102302916414,Wallace St,M,S1400,0.005185590658817,-76.888121118594711,40.277953382242856
76,13,1102302916414,Wallace St,M,S1400,0.005185590658817,-76.888588661737288,40.278879133565226
77,13,1102302916414,Wallace St,M,S1400,0.005185590658817,-76.889056826311446,40.279804570124838
78,13,1102302916414,Wallace St,M,S1400,0.005185590658817,-76.889524999878802,40.280730000389269
79,14,1103690115819,Delaware St,M,S1400,0.000869198411368,-76.889601999832394,40.278982999865605
80,14,1103690115819,Delaware St,M,S1400,0.000869198411368,-76.889437414904762,40.279038879240943
81,14,1103690115819,Delaware St,M,S1400,0.000869198411368,-76.889271239076379,40.279089926558925
82,14,1103690115819,Delaware St,M,S1400,0.000869198411368,-76.889105065046692,40.279140980172144
83,14,1103690115819,Delaware St,M,S1400,0.000869198411368,-76.888938891016949,40.279192033785364
84,14,1103690115819,Delaware St,M,S1400,0.000869198411368,-76.888773000273716,40.279244000210497
85,15,110479897791,Reily St,M,S1400,0.010207622632570,-76.894195000298964,40.269960000153958
86,15,110479897791,Reily St,M,S1400,0.010207622632570,-76.892317092659653,40.270760377889189
87,15,110479897791,Reily St,M,S1400,0.010207622632570,-76.890437630991812,40.271557444320649
88,15,110479897791,Reily St,M,S1400,0.010207622632570,-76.888558415738260,40.272354962211807
89,15,110479897791,Reily St,M,S1400,0.010207622632570,-76.886678129392124,40.273150064523918
90,15,110479897791,Reily St,M,S1400,0.010207622632570,-76.884805999896912,40.273964000438298
91,16,110479899370,Howard Pl,M,S1400,0.000740877337040,-76.889966999577325,40.273352000094803
92,16,110479899370,Howard Pl,M,S1400,0.000740877337040,-76.889879374133784,40.273232510771834
93,16,110479899370,Howard Pl,M,S1400,0.000740877337040,-76.889792397101417,40.273112548405436
94,16,110479899370,Howard Pl,M,S1400,0.000740877337040,-76.889705422767008,40.272992584240399
95,16,110479899370,Howard Pl,M,S1400,0.000740877337040,-76.889618448432600,40.272872619176098
96,16,110479899370,Howard Pl,M,S1400,0.000740877337040,-76.889531000155500,40.272753000350747
97,17,110479898891,Cowden St,M,S1400,0.002924956775254,-76.886187999776325,40.273358000371445
98,17,110479898891,Cowden St,M,S1400,0.002924956775254,-76.886462043888173,40.273874357815430
99,17,110479898891,Cowden St,M,S1400,0.002924956775254,-76.886725719716139,40.274396551859411
